body,category_id,head,id,image_id,left-back-leg,left-front-leg,left-wing,right-back-leg,right-front-leg,right-wing,tail
"(527, 790)",16,"(334, 727)",3920,58fbec72-23d2-11e8-a6a3-ec086b02610b,"(640, 898)","(402, 920)","(-1, -1)","(-1, -1)","(467, 910)","(-1, -1)","(709, 824)"
"(1203, 857)",8,"(1501, 981)",28695,58f10730-23d2-11e8-a6a3-ec086b02610b,"(964, 1203)","(1320, 1084)","(-1, -1)","(1099, 1174)","(1184, 1150)","(-1, -1)","(897, 877)"
"(276, 503)",9,"(293, 583)",11122,5946b928-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)"
"(1527, 916)",7,"(1669, 1055)",28815,58dc4d83-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(1570, 1091)","(-1, -1)","(1459, 1003)","(1617, 1096)","(-1, -1)","(1474, 723)"
"(1053, 1174)",11,"(1203, 1150)",39596,588a6928-23d2-11e8-a6a3-ec086b02610b,"(1111, 1313)","(-1, -1)","(-1, -1)","(935, 1313)","(-1, -1)","(1000, 1208)","(897, 1085)"
"(1949, 1452)",7,"(2393, 1745)",40122,59279d0b-23d2-11e8-a6a3-ec086b02610b,"(1819, 1651)","(-1, -1)","(-1, -1)","(1691, 1678)","(2105, 1813)","(-1, -1)","(1625, 977)"
"(976, 836)",6,"(824, 889)",4425,593d695b-23d2-11e8-a6a3-ec086b02610b,"(1141, 869)","(907, 969)","(-1, -1)","(1056, 915)","(-1, -1)","(-1, -1)","(1093, 836)"
"(1380, 930)",7,"(1281, 962)",16089,593d6931-23d2-11e8-a6a3-ec086b02610b,"(1437, 1027)","(1312, 1034)","(-1, -1)","(1387, 1024)","(1344, 1029)","(-1, -1)","(1378, 783)"
"(561, 1204)",7,"(547, 1349)",700,58a37ba7-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(559, 1472)","(-1, -1)","(527, 1438)","(491, 1448)","(-1, -1)","(599, 1030)"
"(1505, 804)",3,"(1208, 821)",29336,58a52e4c-23d2-11e8-a6a3-ec086b02610b,"(1576, 1113)","(1431, 1126)","(-1, -1)","(1740, 1075)","(1476, 1014)","(-1, -1)","(1870, 969)"
"(1810, 1043)",3,"(2029, 1169)",37025,59292fb5-23d2-11e8-a6a3-ec086b02610b,"(1761, 1181)","(1952, 1234)","(-1, -1)","(1648, 1125)","(1821, 1224)","(-1, -1)","(1588, 1005)"
"(747, 1254)",9,"(614, 1459)",31120,58643848-23d2-11e8-a6a3-ec086b02610b,"(889, 1314)","(696, 1466)","(-1, -1)","(779, 1336)","(730, 1432)","(-1, -1)","(866, 1142)"
"(1544, 711)",3,"(1672, 647)",27599,58c97bdf-23d2-11e8-a6a3-ec086b02610b,"(1454, 1161)","(-1, -1)","(-1, -1)","(1590, 959)","(-1, -1)","(-1, -1)","(1479, 1021)"
"(1860, 625)",6,"(1508, 733)",26200,59167983-23d2-11e8-a6a3-ec086b02610b,"(2052, 1021)","(1851, 1077)","(-1, -1)","(1988, 1068)","(1587, 1109)","(-1, -1)","(-1, -1)"
"(913, 773)",8,"(771, 780)",16620,58f424eb-23d2-11e8-a6a3-ec086b02610b,"(984, 877)","(896, 870)","(-1, -1)","(1022, 828)","(834, 898)","(-1, -1)","(1012, 679)"
"(665, 679)",6,"(554, 658)",38023,59452b4d-23d2-11e8-a6a3-ec086b02610b,"(814, 754)","(515, 738)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(774, 665)"
"(1220, 1715)",5,"(910, 1597)",4344,5874d3b4-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(1024, 1815)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1649, 1772)"
"(1966, 787)",7,"(2025, 962)",30961,592abf0a-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1930, 636)"
"(1152, 761)",7,"(-1, -1)",2334,58f8cea6-23d2-11e8-a6a3-ec086b02610b,"(1102, 843)","(-1, -1)","(-1, -1)","(1146, 852)","(-1, -1)","(-1, -1)","(1131, 768)"
"(1027, 857)",6,"(831, 974)",7534,58ede214-23d2-11e8-a6a3-ec086b02610b,"(1286, 933)","(909, 1128)","(-1, -1)","(1153, 973)","(1090, 1015)","(-1, -1)","(1215, 700)"
"(964, 609)",34,"(667, 657)",30202,58cb13db-23d2-11e8-a6a3-ec086b02610b,"(1170, 798)","(919, 819)","(-1, -1)","(1058, 805)","(737, 827)","(-1, -1)","(1111, 559)"
"(1409, 1173)",11,"(1370, 1128)",10863,58c1c2c4-23d2-11e8-a6a3-ec086b02610b,"(1394, 1239)","(-1, -1)","(1390, 1198)","(-1, -1)","(-1, -1)","(-1, -1)","(1556, 1208)"
"(1252, 894)",6,"(1527, 844)",25275,589e6761-23d2-11e8-a6a3-ec086b02610b,"(1087, 1286)","(1276, 1175)","(-1, -1)","(954, 1356)","(1443, 1215)","(-1, -1)","(914, 1006)"
"(1003, 862)",11,"(965, 785)",16626,59199707-23d2-11e8-a6a3-ec086b02610b,"(1047, 966)","(-1, -1)","(1051, 852)","(1000, 968)","(-1, -1)","(948, 875)","(960, 741)"
"(977, 1237)",3,"(972, 1476)",18574,59087f7f-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)"
"(44, 882)",6,"(-1, -1)",29133,58dc4b61-23d2-11e8-a6a3-ec086b02610b,"(293, 1116)","(-1, -1)","(-1, -1)","(23, 1111)","(-1, -1)","(-1, -1)","(204, 894)"
"(2184, 682)",6,"(2244, 531)",38040,593d6771-23d2-11e8-a6a3-ec086b02610b,"(1998, 1058)","(-1, -1)","(-1, -1)","(2069, 1079)","(2176, 998)","(-1, -1)","(2026, 755)"
"(609, 580)",9,"(564, 520)",6576,58a37cbf-23d2-11e8-a6a3-ec086b02610b,"(687, 836)","(549, 700)","(-1, -1)","(634, 778)","(-1, -1)","(-1, -1)","(720, 732)"
"(942, 782)",3,"(868, 831)",5729,58643650-23d2-11e8-a6a3-ec086b02610b,"(943, 855)","(-1, -1)","(-1, -1)","(1000, 848)","(-1, -1)","(-1, -1)","(1017, 797)"
"(1935, 1401)",3,"(-1, -1)",42754,5919996b-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)"
"(-1, -1)",7,"(-1, -1)",5614,592de3cc-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(2022, 800)"
"(1594, 954)",3,"(2037, 846)",36665,58f2939e-23d2-11e8-a6a3-ec086b02610b,"(1404, 1461)","(1914, 1254)","(-1, -1)","(1285, 1417)","(1778, 1359)","(-1, -1)","(981, 1381)"
"(851, 962)",21,"(514, 1053)",19847,591e3fff-23d2-11e8-a6a3-ec086b02610b,"(1081, 1081)","(753, 1130)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1154, 953)"
"(585, 1243)",3,"(781, 1321)",17395,587eed46-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(558, 1442)"
"(1848, 881)",1,"(2027, 1009)",160,586ae164-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(1979, 1036)","(-1, -1)","(1800, 1029)","(1822, 1044)","(-1, -1)","(-1, -1)"
"(1138, 1114)",11,"(1083, 1084)",44662,594846b2-23d2-11e8-a6a3-ec086b02610b,"(1179, 1164)","(-1, -1)","(-1, -1)","(1145, 1162)","(-1, -1)","(-1, -1)","(-1, -1)"
"(1278, 759)",1,"(1198, 843)",2515,592abdb9-23d2-11e8-a6a3-ec086b02610b,"(1356, 804)","(1269, 848)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1471, 682)"
"(988, 983)",9,"(1368, 978)",8765,5922ed36-23d2-11e8-a6a3-ec086b02610b,"(989, 1266)","(1070, 1338)","(-1, -1)","(846, 1270)","(1117, 1408)","(-1, -1)","(928, 1130)"
"(1858, 918)",99,"(1757, 959)",21504,5914ef40-23d2-11e8-a6a3-ec086b02610b,"(1909, 959)","(1826, 981)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1957, 870)"
"(1802, 942)",11,"(2015, 966)",36309,58946284-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(1817, 1121)","(-1, -1)","(1798, 1007)","(1655, 875)"
"(662, 1150)",9,"(1063, 1335)",31135,590ebc00-23d2-11e8-a6a3-ec086b02610b,"(597, 1362)","(708, 1487)","(-1, -1)","(539, 1441)","(744, 1475)","(-1, -1)","(445, 1205)"
"(1293, 1432)",3,"(-1, -1)",8620,5892b5a3-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)"
"(616, 1237)",3,"(-1, -1)",32474,586292bc-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(566, 1447)"
"(1336, 802)",8,"(1609, 689)",20380,591e416d-23d2-11e8-a6a3-ec086b02610b,"(1286, 1053)","(-1, -1)","(-1, -1)","(1126, 1138)","(1448, 1166)","(-1, -1)","(1000, 834)"
"(418, 1435)",6,"(-1, -1)",33455,58b8231b-23d2-11e8-a6a3-ec086b02610b,"(481, 1471)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(462, 1309)"
"(1570, 869)",3,"(1773, 1002)",10917,5903cb1a-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(1471, 995)","(1693, 1070)","(-1, -1)","(1278, 775)"
"(1781, 701)",1,"(-1, -1)",17767,58c7f1e8-23d2-11e8-a6a3-ec086b02610b,"(1727, 865)","(-1, -1)","(-1, -1)","(1822, 906)","(-1, -1)","(-1, -1)","(1728, 922)"
"(-1, -1)",8,"(-1, -1)",29218,59055f9a-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(44, 949)"
"(2012, 938)",7,"(-1, -1)",37700,58fa5fc5-23d2-11e8-a6a3-ec086b02610b,"(2005, 1005)","(-1, -1)","(-1, -1)","(1957, 1024)","(-1, -1)","(-1, -1)","(1979, 788)"
"(846, 1287)",7,"(1049, 1381)",33107,58f5b197-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(754, 1396)","(965, 1427)","(-1, -1)","(738, 1075)"
"(537, 1055)",3,"(433, 1171)",4118,58d61315-23d2-11e8-a6a3-ec086b02610b,"(518, 1301)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(561, 1232)"
"(762, 1043)",1,"(-1, -1)",967,5906f1dd-23d2-11e8-a6a3-ec086b02610b,"(725, 1203)","(-1, -1)","(-1, -1)","(764, 1239)","(-1, -1)","(-1, -1)","(581, 1171)"
"(1425, 849)",7,"(1500, 849)",41515,5900a2ee-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(1418, 906)","(1450, 892)","(-1, -1)","(1375, 750)"
"(935, 573)",3,"(1116, 737)",32331,58678d27-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(866, 665)","(1017, 771)","(-1, -1)","(737, 493)"
"(948, 1256)",3,"(-1, -1)",23342,58d2ed8a-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)"
"(1346, 694)",3,"(1506, 862)",14588,58ff1003-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(1546, 964)","(-1, -1)","(-1, -1)","(1288, 836)","(-1, -1)","(1169, 641)"
"(2001, 1077)",5,"(1838, 1070)",26879,5869358f-23d2-11e8-a6a3-ec086b02610b,"(2035, 1164)","(1896, 1186)","(-1, -1)","(2003, 1160)","(-1, -1)","(-1, -1)","(2165, 1017)"
"(1281, 1068)",6,"(1448, 1060)",2488,590236a3-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(1394, 1121)","(-1, -1)","(1220, 1220)","(1411, 1171)","(-1, -1)","(1114, 1120)"
"(691, 418)",9,"(757, 368)",31445,58eaca69-23d2-11e8-a6a3-ec086b02610b,"(658, 517)","(684, 496)","(-1, -1)","(622, 561)","(740, 478)","(-1, -1)","(616, 496)"
"(1880, 840)",10,"(1812, 852)",6586,59136672-23d2-11e8-a6a3-ec086b02610b,"(1926, 877)","(1860, 879)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1945, 831)"
"(529, 573)",34,"(23, 657)",35541,58fbed6b-23d2-11e8-a6a3-ec086b02610b,"(642, 947)","(586, 940)","(-1, -1)","(866, 936)","(238, 951)","(-1, -1)","(874, 535)"
"(2086, 870)",51,"(2432, 834)",40689,58a6e7d6-23d2-11e8-a6a3-ec086b02610b,"(1943, 1218)","(-1, -1)","(-1, -1)","(1787, 1292)","(2163, 1179)","(-1, -1)","(1600, 1109)"
"(1300, 1132)",6,"(1201, 1145)",22673,58946128-23d2-11e8-a6a3-ec086b02610b,"(1332, 1249)","(1189, 1234)","(-1, -1)","(1508, 1222)","(-1, -1)","(-1, -1)","(1471, 1155)"
"(819, 556)",9,"(887, 481)",24318,5903cb1d-23d2-11e8-a6a3-ec086b02610b,"(889, 723)","(803, 715)","(-1, -1)","(834, 720)","(754, 720)","(-1, -1)","(-1, -1)"
"(1846, 942)",7,"(-1, -1)",16252,58857cd1-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1984, 957)"
"(1063, 852)",9,"(1068, 793)",42286,58ce4058-23d2-11e8-a6a3-ec086b02610b,"(1047, 1026)","(-1, -1)","(-1, -1)","(1059, 1120)","(-1, -1)","(-1, -1)","(1095, 988)"
"(866, 1123)",7,"(996, 1094)",30776,58a8a1f0-23d2-11e8-a6a3-ec086b02610b,"(735, 1266)","(-1, -1)","(-1, -1)","(820, 1236)","(909, 1173)","(-1, -1)","(759, 968)"
"(1276, 595)",34,"(983, 523)",39785,586c87ed-23d2-11e8-a6a3-ec086b02610b,"(1406, 866)","(1063, 843)","(-1, -1)","(1537, 863)","(1170, 861)","(-1, -1)","(1479, 578)"
"(836, 558)",9,"(808, 484)",37339,58e939ec-23d2-11e8-a6a3-ec086b02610b,"(892, 723)","(805, 710)","(-1, -1)","(829, 688)","(757, 720)","(-1, -1)","(919, 640)"
"(1844, 865)",7,"(1660, 942)",3529,58d160ed-23d2-11e8-a6a3-ec086b02610b,"(2015, 981)","(1735, 1000)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)"
"(1578, 867)",11,"(1513, 694)",18601,5874d3c0-23d2-11e8-a6a3-ec086b02610b,"(1566, 1010)","(-1, -1)","(1556, 892)","(1575, 976)","(-1, -1)","(-1, -1)","(1677, 968)"
"(1225, 1253)",10,"(1157, 1246)",3551,590b9ef6-23d2-11e8-a6a3-ec086b02610b,"(1242, 1297)","(1175, 1311)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1288, 1251)"
"(974, 1128)",10,"(1035, 1126)",33494,59247952-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(955, 1166)","(1008, 1157)","(-1, -1)","(936, 1121)"
"(1739, 927)",11,"(1701, 891)",227d63f9-166d-4d84-8ea8-f29333fba60b,58f5af45-23d2-11e8-a6a3-ec086b02610b,"(1739, 1003)","(-1, -1)","(1778, 947)","(1728, 993)","(-1, -1)","(-1, -1)","(1803, 976)"
"(1138, 517)",9,"(1136, 484)",41506,5946b94a-23d2-11e8-a6a3-ec086b02610b,"(1122, 643)","(-1, -1)","(-1, -1)","(1158, 696)","(-1, -1)","(-1, -1)","(1131, 585)"
"(1223, 782)",7,"(1368, 867)",4329,58d6155a-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(1196, 867)","(1326, 896)","(-1, -1)","(1015, 693)"
"(1810, 764)",11,"(1848, 677)",14527,58ec5620-23d2-11e8-a6a3-ec086b02610b,"(1827, 828)","(-1, -1)","(-1, -1)","(1817, 838)","(-1, -1)","(1807, 773)","(1728, 816)"
"(1570, 1838)",5,"(-1, -1)",30324,59328d2f-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1162, 1732)"
"(1239, 1237)",10,"(1177, 1246)",34180,585c03cc-23d2-11e8-a6a3-ec086b02610b,"(1247, 1297)","(1196, 1297)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1290, 1244)"
"(858, 1167)",11,"(911, 1114)",4225,59087feb-23d2-11e8-a6a3-ec086b02610b,"(829, 1237)","(-1, -1)","(-1, -1)","(858, 1229)","(-1, -1)","(832, 1188)","(771, 1219)"
"(1126, 519)",9,"(-1, -1)",9875,58b13154-23d2-11e8-a6a3-ec086b02610b,"(1111, 640)","(-1, -1)","(-1, -1)","(1152, 684)","(-1, -1)","(-1, -1)","(1124, 592)"
"(428, 768)",10,"(426, 739)",33902,5902368f-23d2-11e8-a6a3-ec086b02610b,"(413, 887)","(-1, -1)","(-1, -1)","(440, 887)","(-1, -1)","(-1, -1)","(428, 804)"
"(1437, 1162)",10,"(1495, 1147)",19945,58c97a1c-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(1408, 1210)","(1481, 1198)","(-1, -1)","(1384, 1135)"
"(392, 1034)",5,"(285, 1028)",32657,58857e6d-23d2-11e8-a6a3-ec086b02610b,"(369, 1128)","(324, 1120)","(-1, -1)","(420, 1113)","(356, 1098)","(-1, -1)","(563, 1079)"
"(1020, 889)",10,"(1099, 882)",5330,59328b02-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(959, 931)","(1064, 931)","(-1, -1)","(955, 887)"
"(875, 519)",10,"(884, 493)",1791,58aa5b46-23d2-11e8-a6a3-ec086b02610b,"(856, 556)","(-1, -1)","(-1, -1)","(882, 561)","(-1, -1)","(-1, -1)","(875, 541)"
"(1665, 561)",7,"(1756, 609)",44054,58bb89a2-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(1590, 641)","(1704, 631)","(-1, -1)","(1580, 397)"
"(1416, 770)",7,"(-1, -1)",6992,58c1c2e6-23d2-11e8-a6a3-ec086b02610b,"(1401, 867)","(-1, -1)","(-1, -1)","(1459, 862)","(-1, -1)","(-1, -1)","(1573, 686)"
"(1257, 836)",11,"(1210, 764)",27288,58c66541-23d2-11e8-a6a3-ec086b02610b,"(1266, 913)","(-1, -1)","(1233, 855)","(1285, 911)","(-1, -1)","(-1, -1)","(1336, 884)"
"(1090, 822)",11,"(1152, 768)",8063,5935a84e-23d2-11e8-a6a3-ec086b02610b,"(1082, 889)","(-1, -1)","(-1, -1)","(1059, 899)","(-1, -1)","(1041, 844)","(983, 868)"
"(926, 1113)",7,"(807, 1212)",43239,58df69ce-23d2-11e8-a6a3-ec086b02610b,"(1066, 1149)","(977, 1205)","(-1, -1)","(1013, 1157)","(868, 1229)","(-1, -1)","(1000, 833)"
"(2306, 898)",5,"(2387, 889)",28663,58aa5952-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(2318, 940)","(-1, -1)","(2297, 936)","(2348, 923)","(-1, -1)","(2182, 917)"
"(256, 952)",10,"(157, 957)",36417,5906eff8-23d2-11e8-a6a3-ec086b02610b,"(360, 1000)","(209, 1030)","(-1, -1)","(293, 1000)","(163, 1022)","(-1, -1)","(351, 923)"
"(474, 763)",10,"(481, 705)",20955,5876812a-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(494, 807)","(501, 792)","(-1, -1)","(447, 807)"
"(1694, 896)",11,"(1646, 870)",41747,5922ebe9-23d2-11e8-a6a3-ec086b02610b,"(1715, 973)","(-1, -1)","(1807, 824)","(1664, 940)","(-1, -1)","(1658, 761)","(1769, 925)"
"(1797, 881)",9,"(1539, 1014)",32162,58693406-23d2-11e8-a6a3-ec086b02610b,"(1916, 1039)","(1803, 1034)","(-1, -1)","(2034, 875)","(1670, 1123)","(-1, -1)","(2018, 749)"
"(1318, 1117)",11,"(1333, 1045)",16048,58e938eb-23d2-11e8-a6a3-ec086b02610b,"(1316, 1188)","(-1, -1)","(-1, -1)","(1280, 1203)","(-1, -1)","(1271, 1143)","(1222, 1137)"
"(1949, 1147)",5,"(2094, 1149)",28234,592478d7-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(2067, 1190)","(-1, -1)","(1864, 1233)","(2011, 1218)","(-1, -1)","(1640, 1181)"
"(1732, 840)",7,"(1631, 922)",25083,5914f0f5-23d2-11e8-a6a3-ec086b02610b,"(1807, 944)","(1715, 993)","(-1, -1)","(1885, 944)","(-1, -1)","(-1, -1)","(1967, 752)"
"(1710, 886)",11,"(1664, 862)",33357,59328baf-23d2-11e8-a6a3-ec086b02610b,"(1713, 966)","(-1, -1)","(1819, 824)","(1669, 937)","(-1, -1)","(1612, 766)","(1764, 896)"
"(1925, 826)",10,"(1853, 822)",25874,59279e41-23d2-11e8-a6a3-ec086b02610b,"(1935, 874)","(1894, 863)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1972, 834)"
"(776, 1132)",8,"(974, 1410)",42146,58995a2c-23d2-11e8-a6a3-ec086b02610b,"(785, 1360)","(-1, -1)","(-1, -1)","(653, 1427)","(861, 1464)","(-1, -1)","(-1, -1)"
"(1576, 843)",11,"(1488, 732)",34152,5888bc3f-23d2-11e8-a6a3-ec086b02610b,"(1563, 1024)","(-1, -1)","(1580, 901)","(1585, 968)","(-1, -1)","(-1, -1)","(1725, 778)"
"(1848, 841)",51,"(1971, 812)",19535,59247937-23d2-11e8-a6a3-ec086b02610b,"(1737, 928)","(-1, -1)","(-1, -1)","(1780, 931)","(1892, 909)","(-1, -1)","(1626, 896)"
"(93, 701)",10,"(139, 751)",43570,58d7a295-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(71, 739)","(126, 778)","(-1, -1)","(-1, -1)"
"(1396, 783)",5,"(1457, 723)",3536,58bb8987-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(1399, 874)","(1479, 764)","(-1, -1)","(1204, 805)"
"(814, 1072)",7,"(776, 1094)",14330,58d7a2ba-23d2-11e8-a6a3-ec086b02610b,"(831, 1140)","(-1, -1)","(-1, -1)","(875, 1108)","(-1, -1)","(-1, -1)","(841, 995)"
"(1616, 992)",99,"(1527, 1046)",12871,593bdc2b-23d2-11e8-a6a3-ec086b02610b,"(1682, 1017)","(1582, 1068)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1720, 928)"
"(1285, 1155)",7,"(1262, 1137)",24211,588f67ee-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(1300, 1210)","(-1, -1)","(-1, -1)","(1232, 1205)","(-1, -1)","(1326, 1053)"
"(2109, 1275)",11,"(2180, 1258)",16397,5922ecf4-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(2097, 1339)","(-1, -1)","(2086, 1277)","(1952, 1288)"
"(1438, 906)",21,"(1595, 940)",22386,58b2ef00-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(1472, 950)","(-1, -1)","(1375, 967)","(1501, 967)","(-1, -1)","(1310, 923)"
"(1720, 930)",6,"(1913, 860)",29185,591fd2c0-23d2-11e8-a6a3-ec086b02610b,"(1576, 1260)","(1694, 1102)","(-1, -1)","(1650, 1164)","(1894, 1060)","(-1, -1)","(1621, 1051)"
"(803, 382)",5,"(872, 320)",33267,58c34f2c-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(781, 440)","(860, 377)","(-1, -1)","(657, 421)"
"(795, 1067)",7,"(728, 1128)",16256,586291b4-23d2-11e8-a6a3-ec086b02610b,"(841, 1125)","(773, 1154)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(832, 968)"
"(1536, 626)",5,"(1638, 631)",3134,58946257-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(1484, 746)","(1585, 676)","(-1, -1)","(1365, 799)"
"(2146, 1256)",11,"(2171, 1184)",34752,590b9c6b-23d2-11e8-a6a3-ec086b02610b,"(2154, 1322)","(-1, -1)","(-1, -1)","(2094, 1331)","(-1, -1)","(2086, 1254)","(2060, 1262)"
"(694, 866)",10,"(617, 858)",34828,594082f3-23d2-11e8-a6a3-ec086b02610b,"(742, 896)","(672, 899)","(-1, -1)","(713, 896)","(634, 892)","(-1, -1)","(744, 846)"
"(2286, 738)",3,"(2528, 757)",28433,58ec5503-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(2293, 885)","(-1, -1)","(2137, 960)","(2440, 949)","(-1, -1)","(2016, 902)"
"(1464, 1403)",8,"(-1, -1)",32642,5911d713-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)"
"(1459, 875)",51,"(1607, 863)",1041,58df697d-23d2-11e8-a6a3-ec086b02610b,"(1423, 965)","(1460, 960)","(-1, -1)","(1309, 943)","(1585, 954)","(-1, -1)","(1237, 897)"
"(884, 314)",5,"(931, 247)",15150,58e28138-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(902, 384)","(935, 286)","(-1, -1)","(797, 343)"
"(1148, 1056)",7,"(-1, -1)",13196,5860eecd-23d2-11e8-a6a3-ec086b02610b,"(1145, 1130)","(-1, -1)","(-1, -1)","(1186, 1109)","(-1, -1)","(-1, -1)","(1157, 978)"
"(1515, 872)",21,"(1592, 865)",6296,58b82023-23d2-11e8-a6a3-ec086b02610b,"(1416, 943)","(1510, 930)","(-1, -1)","(1445, 947)","(1573, 935)","(-1, -1)","(1384, 940)"
"(853, 1321)",10,"(991, 1309)",24186,59bfdfe6-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(698, 1472)"
"(996, 672)",1,"(916, 695)",737,5a1cb275-23d2-11e8-a6a3-ec086b02610b,"(1035, 727)","(998, 716)","(-1, -1)","(-1, -1)","(938, 723)","(-1, -1)","(1127, 656)"
"(1075, 651)",16,"(1192, 626)",5537,5a1e50a7-23d2-11e8-a6a3-ec086b02610b,"(938, 727)","(1162, 734)","(-1, -1)","(1048, 753)","(1120, 724)","(-1, -1)","(925, 630)"
"(131, 767)",9,"(-1, -1)",20717,59b2ea46-23d2-11e8-a6a3-ec086b02610b,"(180, 902)","(145, 889)","(-1, -1)","(284, 887)","(61, 902)","(-1, -1)","(295, 803)"
"(791, 1200)",1,"(682, 1241)",37255,596a4dd2-23d2-11e8-a6a3-ec086b02610b,"(892, 1289)","(747, 1292)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1017, 1246)"
